"player_id","full_name","team","positions","current_price","breakeven","current_season_average","average_3_round","average_5_round","total_points","games_played","ownership_percentage","played_status","status","injury_detail","expected_return","role_tag","goal_kicking_status","starting_status","locked_flag","active_flag"
215,"De Courcey, Wilson","NEW",NA,201400,NA,3.8,NA,NA,19,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
37,"Dykes, Kade","BUL","FLB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
460,"Elliott, Jake","SYD","HFB/5/8",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
284,"Fatialofa, Kayliss","NZL","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
103,"Fineanganofo, John","DOL","5/8/HOK",201400,NA,0,NA,NA,0,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
462,"Foley, Reece","SYD","5/8/2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
312,"Funa-Iuta, Jezaiah","PAR","2RF",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
367,"Gabrael, Michael","SHA","CTW",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
429,"Glover, Jonah","STH","HFB/5/8",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
345,"Going, Kalani","PTH","2RF/HOK",201400,NA,6.2,NA,NA,31,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
543,"Hanson, Luke","NZL","HFB",201400,NA,13.4,NA,NA,67,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
139,"Harrison, Zane","GCT","HFB",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
496,"Haywood, Jared","WST","HOK",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
252,"Herdegen, Zac","NQC","HFB/5/8",201400,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
